DNI,Id. Empleat,Tipus de sol�licitud,CP,Telefon,DataNaix,Sexe,Email per notificacions,CP per notificacions,%Minus,Adaptacio Centre base,Apte Segons centre base,exclos,Niv cat,Comprobar amb pol. lingüística,proba física superada,carnet conducir,examen1,examen2,examen3,examen4,examen5,Municipi
II257577,8070373,Certificat digital,07038,+34 098461235,20/08/2000,M,dfztat@outlook.com,07991,0.0,False,True,False,C1,True,True,Sí,6.35,4.78,NP,7.05,3.68,Consell
HS660732,7386220,PreZëncial,07805,+34 399253088,24/10/1991,F,avnxqe@hotmail.com,07792,0.0,False,True,False,B2,True,True,Sí,10.0,7.48,5.71,9.05,10.0,Ibiza
WA908227,7334248,PreZëncial,07500,+34 665691484,24/02/1974,M,rydxirj@example.com,07803,0.0,False,True,False,A2,True,True,Sí,10.0,NP,NP,2.96,5.12,Campos
50963304L,5531649,Certificat digital,07038,+34 934536489,14/01/1999,F,vkfbbn@yahoo.com,07603,0.0,False,True,False,B1,True,True,No,8.1,10.0,4.89,8.09,0.0,Consell
68499030Q,4175935,PreZëncial,07950,+34 293929218,11/08/1994,M,fovigdyjj@yahoo.com,07516,0.0,False,True,False,B2,True,True,Sí,6.34,8.67,4.76,6.11,6.05,Búger
WE844236,4878886,PreZëncial,07404,+34 536525453,09/06/1987,F,sfulvnu@hotmail.com,07126,0.0,False,True,False,A2,True,False,Sí,NP,10.0,6.46,10.0,9.86,Sant Antoni de Portmany
SS743720,3257889,PreZëncial,07805,+34 311669480,03/04/1988,M,nramzx@example.com,07121,0.0,False,True,False,C1,True,False,Sí,0.0,NP,6.48,,5.45,Ibiza
33226298S,4919025,PreZëncial,07747,+34 244093667,07/11/1982,M,bwgnvsj@gmail.com,07126,0.0,False,True,False,A2,True,True,Si,0.0,7.54,5.68,5.83,5.71,Inca
51797629L,8195180,PreZëncial,07803,+34 144120942,02/05/1982,F,nyopy@hotmail.com,07657,27.0,False,True,False,B1,True,True,No,8.41,7.61,7.85,NP,3.64,Felanitx
EL619763,3245567,PreZëncial,07595,+34 702720859,22/10/1977,F,egflpaqldg@hotmail.com,07905,0.0,False,True,False,B1,True,True,Sí,9.32,9.1,8.81,1.7,6.78,Llucmajor
18751214G,1223005,Certificat digital,07500,+34 872363474,17/05/1996,M,smtudygsdn@outlook.com,07915,0.0,False,True,False,B2,True,True,Sí,10.0,NP,6.82,,7.67,Campos
37693674D,9123065,PreZëncial,07991,+34 328046807,25/09/1984,F,hfszcjljjb@outlook.com,07803,0.0,False,True,False,C1,True,True,Sí,5.12,6.5,,NP,NP,Petra
UI495080,9020009,PreZëncial,07737,+34 405480837,06/04/1976,F,rboeotjyq@gmail.com,07905,0.0,False,True,False,B2,True,True,Sí,10.0,5.62,9.28,4.99,6.66,Mahón (Maó)
42708247F,2634694,PreZëncial,07905,+34 198171228,23/11/1976,M,ngsybretae@outlook.com,07500,12.0,False,True,False,C2,True,True,Sí,10.0,NP,,NP,0.0,Sant Joan de Labritja
52417336Z,2963192,PreZëncial,07603,+34 877624649,31/12/1978,F,sijmdd@yahoo.com,07747,0.0,False,True,False,B1,True,True,Sí,8.49,10.0,5.51,2.13,8.51,Son Servera
04369120V,4102642,Certificat digital,07737,+34 716946677,05/02/1980,M,wymlu@yahoo.com,07805,0.0,False,True,False,B1,True,True,Sí,9.98,3.44,7.66,1.55,3.68,Mahón (Maó)
NF688210,8084041,Certificat digital,07126,+34 929220408,26/06/1984,F,brjcowfjl@yahoo.com,07991,0.0,False,True,False,B2,True,True,Sí,10.0,9.09,7.92,5.68,NP,Santa Eulalia del Río (Santa Eulària des Riu)
71540231L,3217054,PreZëncial,07222,+34 407587408,09/06/1979,M,dqebxwqul@hotmail.com,07038,0.0,False,True,False,B2,True,True,Sí,7.71,9.62,5.06,9.06,0.0,Pollença
03680829R,7362993,PreZëncial,07805,+34 055265184,22/09/1989,M,mevdmzn@hotmail.com,07818,0.0,False,True,False,B2,True,True,No,10.0,5.18,5.59,8.58,6.83,Ibiza
HN961177,6317161,PreZëncial,07915,+34 930144012,09/02/1997,F,ccxcsqsq@gmail.com,07603,0.0,False,True,False,C1,True,True,No,4.59,6.47,7.28,1.86,NP,Capdepera
31139908R,1931283,Correu electrònic,07991,+34 473420415,15/05/1976,F,hapyi@example.com,07544,46.0,False,True,False,B2,True,True,Sí,6.19,10.0,6.62,6.28,4.12,Petra
97725872E,3112704,PreZëncial,07500,+34 198678099,02/01/1976,F,jelfai@outlook.com,07803,0.0,False,True,False,C2,True,False,Si,NP,7.38,5.85,3.04,3.99,Campos
36636954R,6369063,Correu electrònic,07950,+34 181645679,29/09/1994,M,dnyppek@yahoo.com,07803,0.0,False,True,False,C1,True,True,Sí,2.54,NP,,2.25,6.59,Búger
EP200321,206119,PreZëncial,07126,+34 225629720,10/08/1984,M,ulvatpowcr@hotmail.com,07657,0.0,False,True,False,A2,True,True,Sí,10.0,5.65,6.38,0.0,2.13,Santa Eulalia del Río (Santa Eulària des Riu)
16186052D,7022508,Correu electrònic,07360,+34 898635288,20/07/1985,F,afroxuuyc@gmail.com,07950,0.0,False,True,False,B2,True,True,Sí,8.7,6.49,,7.08,6.27,Marratxí
36253943D,7934782,Certificat digital,07126,+34 365523351,04/05/1994,M,qjymfuknio@example.com,07805,0.0,False,True,False,B2,True,True,No,4.97,8.72,9.67,8.27,9.61,Santa Eulalia del Río (Santa Eulària des Riu)
28099202X,3648798,PreZëncial,07805,+34 180770086,07/04/1995,M,ckxkczetfj@yahoo.com,07595,0.0,False,True,False,B1,True,True,Sí,10.0,7.64,7.45,,2.42,Ibiza
80884591P,5672117,Certificat digital,07121,+34 462685489,27/04/1982,M,bqxnei@outlook.com,07158,17.0,False,True,False,B1,True,False,Sí,10.0,7.0,7.27,7.53,9.59,Alcúdia
42331527G,2357368,PreZëncial,07805,+34 207524001,17/08/1993,M,mbjrpmqfv@gmail.com,07360,0.0,False,True,False,C1,True,True,Sí,6.61,6.0,6.81,NP,5.25,Ibiza
00293203E,9147354,PreZëncial,07747,+34 433248089,13/08/1998,M,nsbvduwco@gmail.com,07516,0.0,False,True,False,C2,True,True,Si,10.0,8.37,6.73,3.84,0.07,Inca
60177118X,2155068,PreZëncial,07544,+34 866481713,03/01/1985,N,vroldkn@example.com,07612,0.0,False,True,False,B1,True,True,Si,8.7,6.79,8.5,3.35,3.87,Lloseta
05940300K,2006031,PreZëncial,07222,+34 407681030,15/03/1995,F,prjhkxnkp@yahoo.com,07747,0.0,False,True,False,B2,True,True,Sí,0.0,6.29,7.0,0.0,6.14,Pollença
24865610B,6913199,PreZëncial,07516,+34 882370937,14/06/2002,F,nnesh@example.com,07991,0.0,False,True,False,C1,True,True,Sí,1.18,NP,6.6,7.47,5.87,Santanyí
37030218B,4571815,PreZëncial,07158,+34 105821856,21/04/1987,F,vzpojhzyqw@example.com,07516,0.0,False,True,False,B2,True,True,Si,8.52,5.63,NP,7.04,5.82,Artà
VF495221,3725611,PreZëncial,07360,+34 243674054,30/01/1982,M,qemynqay@hotmail.com,07805,0.0,False,True,False,A2,True,True,Si,6.99,9.53,6.97,NP,NP,Marratxí
EJ422121,5009135,PreZëncial,07950,+34 395744364,14/09/1984,M,hsftk@example.com,07805,0.0,False,True,False,B1,True,True,No,8.62,5.12,NP,1.87,5.09,Búger
96181183J,2663915,PreZëncial,07792,+34 677539383,17/04/1997,F,vnfdwkepp@gmail.com,07516,0.0,False,True,False,A2,True,True,No,NP,6.1,6.57,,5.83,Algaida
22683003N,7456725,PreZëncial,07905,+34 486556118,26/12/1996,M,gebkzmbl@outlook.com,07792,0.0,False,True,False,B1,True,True,Sí,7.36,6.89,6.23,6.73,1.65,Sant Joan de Labritja
30465322M,1205269,PreZëncial,07121,+34 797577450,28/01/1992,M,jyhgpoqwy@yahoo.com,07200,17.0,False,True,False,B1,True,True,Sí,10.0,9.79,5.94,2.65,5.7,Alcúdia
97947482G,420250,PreZëncial,07544,+34 421228824,04/02/1975,F,ulzxrezdos@outlook.com,07360,0.0,False,True,False,A2,True,True,Sí,10.0,9.0,8.53,3.45,5.33,Lloseta
GN863369,494117,PreZëncial,07905,+34 443185055,25/12/1988,M,qtspzcp@yahoo.com,07805,0.0,False,True,False,B1,True,True,Sí,0.0,9.44,8.51,NP,NP,Sant Joan de Labritja
63375413V,645396,PreZëncial,07805,+34 200461342,04/02/1982,M,vtcgidfo@outlook.com,07737,0.0,False,True,False,B2,True,True,Sí,10.0,6.95,6.69,6.73,1.78,Ibiza
07629451Y,3402041,PreZëncial,07038,+34 884832899,14/04/1994,M,mupowrun@gmail.com,07915,0.0,False,True,False,B1,True,True,Sí,5.51,7.72,7.14,10.0,8.13,Consell
VC734413,3799310,PreZëncial,07803,+34 242159296,17/12/1983,M,ibrmmcsocr@gmail.com,07126,0.0,False,True,False,C2,True,True,Sí,0.0,6.76,7.09,,4.34,Felanitx
33153451D,1435192,PreZëncial,07431,+34 765837530,15/09/1995,F,hbqkug@gmail.com,07905,0.0,False,True,False,C2,True,True,No,NP,8.18,,2.6,10.0,Palma de Mallorca
69919257Q,2176945,PreZëncial,07404,+34 391210284,23/10/2004,M,gcmhdpzro@yahoo.com,07740,0.0,False,True,False,A2,True,True,Sí,9.54,4.63,8.15,1.01,1.49,Sant Antoni de Portmany
66836698D,7251480,PreZëncial,07544,+34 836607792,16/05/1976,F,npsxznvkf@outlook.com,07805,0.0,False,True,False,B1,True,True,Sí,1.85,NP,NP,,NP,Lloseta
59914088P,4412281,Certificat digital,07991,+34 522642733,29/05/1999,F,kvqujwlrzh@example.com,07516,0.0,False,True,False,B2,True,False,Sí,7.11,,NP,7.32,10.0,Petra
89375203D,9210460,PreZëncial,07805,+34 824155159,14/05/1989,F,rpdkqknpdn@yahoo.com,07431,0.0,False,True,False,C2,True,True,No,10.0,6.61,8.2,0.0,7.27,Ibiza
66243313R,8543919,Correu electrònic,07792,+34 636174053,22/08/1984,F,pnretvu@hotmail.com,07603,0.0,False,True,False,C1,True,True,Sí,7.26,,5.75,7.76,NP,Algaida
WA067709,7977671,PreZëncial,07905,+34 738382902,19/04/1989,M,vtsysklmsi@example.com,07222,0.0,False,True,False,B1,True,True,Sí,NP,10.0,6.58,3.5,10.0,Sant Joan de Labritja
46332064J,1506938,PreZëncial,07950,+34 063480192,17/09/1998,F,zmtnpiikt@gmail.com,07360,0.0,False,True,False,A2,True,True,Sí,7.52,9.08,7.62,6.54,6.66,Búger
LP454722,5632840,Correu electrònic,07200,+34 854656693,22/03/1983,M,nelcagcxis@gmail.com,07805,70.0,True,True,False,C1,True,True,Si,0.0,NP,7.39,4.3,5.3,Sant Josep de sa Talaia
IG246372,1827166,PreZëncial,07747,+34 426716170,31/08/1975,F,dfuvedq@hotmail.com,07991,0.0,False,True,False,C1,True,True,Sí,8.8,10.0,6.03,0.0,10.0,Inca
